9<420000;9<175560
9<430000;9<189645
9<440000;9<203736
9<450000;9<217831
9<460000;9<231930
9<470000;9<246034
9<480000;9<260143
9<490000;9<274256
9<500000;9<288374
9<510000;9<302497
9<520000;9<316624
9<530000;9<330755
9<540000;9<344891
9<550000;9<359032
9<560000;9<373177
9<570000;9<387327
9<580000;9<401482
9<590000;9<415640
9<600000;9<429804
9<610000;9<443972
9<620000;9<458144
9<630000;9<472321
9<640000;9<486503
9<650000;9<500689
9<660000;9<514879
9<670000;9<529074
9<680000;9<543273
9<690000;9<557477
9<700000;9<571686
9<710000;9<585899
9<720000;9<600116
9<730000;9<614338
9<740000;9<628564
9<750000;9<642795
9<760000;9<657030
9<770000;9<671270
9<780000;9<685514
9<790000;9<699763
9<800000;9<714016
9<810000;9<728273
9<820000;9<742535
9<830000;9<756801
9<840000;9<771072
9<850000;9<785347
9<860000;9<799626
9<870000;9<813910
9<880000;9<828199
9<890000;9<842491
9<900000;9<856788
9<910000;9<871090
9<920000;9<885396
9<930000;9<899706
9<940000;9<914021
9<950000;9<928340
9<960000;9<942663
9<970000;9<956991
9<980000;9<971323
9<990000;9<985659
